id,name,unit,price,oldPrice,category,emoji,badge,variants,stock
63,Baisan - 500gm,,180,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/placeholder/default/265x265.jpg,PROMO,,181
64,Young's Mayo Red Chilli - 500ml,,570,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000061275.jpg,PROMO,,184
65,Young's Mayo Dressing - 2Ltr,,730,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/1/_12586.png,PROMO,,187
66,Young's Mayo Chup - 500ml,,400,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/8/_8964000061213.jpg,PROMO,,190
67,Young's Mayo Chup - 200ml,,199,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000061206.jpg,PROMO,,193
68,Young's Honey Glass Bottle - 500gm,,970,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000061855.jpg,PROMO,,196
69,Young's Honey Glass Bottle - 250gm,,540,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000061848.jpg,PROMO,,199
70,Young's Honey Glass Bottle - 125gm,,300,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000061831.jpg,PROMO,,202
71,Young's Honey - 1kg,,1500,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000061886.png,PROMO,,205
72,Young's French Olive Spread - 300ml,,320,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000061619.jpg,PROMO,,208
73,Young's French Olive Spread - 200ml,,310,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000061640.jpg,PROMO,,211
74,Young's French Mayonnaise - 946ml,,750,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000061039.jpg,PROMO,,214
75,Young's French Mayonnaise - 300ml,,340,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/0/_01281.jpg,PROMO,,217
76,Young's French Mayonnaise - 200ml,,180,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000061107.jpg,PROMO,,220
77,Young's French Mayo Garlic - 500ml,,600,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000061312.jpg,PROMO,,223
78,Young's French Mayo Garlic - 200ml,,265,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000061305.jpg,PROMO,,226
